iter	Passed	Remaining
364	1905	3314
365	1907	3303
366	1914	3301
367	1916	3291
368	1918	3280
369	1920	3269
370	1922	3258
371	1927	3253
372	1929	3243
373	1932	3234
374	1934	3224
375	1938	3216
376	1945	3215
377	1949	3207
378	1951	3197
379	1954	3188
380	1961	3187
381	1963	3177
382	1965	3166
383	1967	3156
384	1969	3146
385	1976	3144
386	1979	3135
387	1981	3125
388	1984	3116
389	1992	3116
390	1994	3106
391	1996	3097
392	1998	3087
393	2000	3077
394	2003	3069
395	2006	3060
396	2008	3051
397	2011	3042
398	2013	3032
399	2015	3022
400	2020	3018
401	2022	3008
402	2024	2999
403	2026	2989
404	2028	2979
405	2029	2969
